********************************************************************************
Field Output Report, written Tue Nov 29 15:46:59 2016

Source 1
---------

   ODB: C:/Software/SIMULIA/Temp/importrolling/importrolling_roll_flat.odb
   Step: Step-4
   Frame: Increment     13584: Step Time =   2.5001E-02

Loc 1 : Nodal values at CSHEARF  STREAD/SROAD from source 1

Output sorted by column "CSHEARF  STREAD/SROAD.FORCE1".

Field Output reported at nodes for part: PART-1-1

            Node  CSHEARF  STREAD/SROAD.Magnitude  CSHEARF  STREAD/SROAD.FORCE1  CSHEARF  STREAD/SROAD.FORCE2  CSHEARF  STREAD/SROAD.FORCE3
           Label          @Loc 1          @Loc 1          @Loc 1          @Loc 1
           24550              0.              0.              0.              0.
           24555              0.              0.              0.              0.
           25027              0.              0.              0.              0.
           25031              0.              0.              0.              0.
           25035              0.              0.              0.              0.
           25040              0.              0.              0.              0.
           25045              0.              0.              0.              0.
           25050              0.              0.              0.              0.
           25055              0.              0.              0.              0.
           25527              0.              0.              0.              0.
           25531              0.              0.              0.              0.
           25535              0.              0.              0.              0.
           25540              0.              0.              0.              0.
           25545              0.              0.              0.              0.
           25550              0.              0.              0.              0.
           25555              0.              0.              0.              0.
           26027              0.              0.              0.              0.
           26031              0.              0.              0.              0.
           26035              0.              0.              0.              0.
           26040              0.              0.              0.              0.
           26045              0.              0.              0.              0.
           26050              0.              0.              0.              0.
           26055              0.              0.              0.              0.
           26527              0.              0.              0.              0.
           26531              0.              0.              0.              0.
           26535              0.              0.              0.              0.
           26540              0.              0.              0.              0.
           26545              0.              0.              0.              0.
           26550              0.              0.              0.              0.
           26555              0.              0.              0.              0.
           27027              0.              0.              0.              0.
           27031              0.              0.              0.              0.
           27035              0.              0.              0.              0.
           27040              0.              0.              0.              0.
           27045              0.              0.              0.              0.
           27050              0.              0.              0.              0.
           27055              0.              0.              0.              0.
           27527              0.              0.              0.              0.
           27531              0.              0.              0.              0.
           27535              0.              0.              0.              0.
           27540              0.              0.              0.              0.
           27545              0.              0.              0.              0.
           27550              0.              0.              0.              0.
           27555              0.              0.              0.              0.
           28027              0.              0.              0.              0.
           28031              0.              0.              0.              0.
           28035              0.              0.              0.              0.
           28040              0.              0.              0.              0.
           28045              0.              0.              0.              0.
           28050              0.              0.              0.              0.
           28055              0.              0.              0.              0.
           28527              0.              0.              0.              0.
           28531              0.              0.              0.              0.
           28535              0.              0.              0.              0.
           28540              0.              0.              0.              0.
           28545              0.              0.              0.              0.
           28550              0.              0.              0.              0.
           28555              0.              0.              0.              0.
           29027              0.              0.              0.              0.
           29031              0.              0.              0.              0.
           29035              0.              0.              0.              0.
           29040              0.              0.              0.              0.
           29045              0.              0.              0.              0.
           29050              0.              0.              0.              0.
           29055              0.              0.              0.              0.
           29527              0.              0.              0.              0.
           29531              0.              0.              0.              0.
           29535              0.              0.              0.              0.
           29540              0.              0.              0.              0.
           29545              0.              0.              0.              0.
           29550              0.              0.              0.              0.
           29555              0.              0.              0.              0.
          100027              0.              0.              0.              0.
          100031              0.              0.              0.              0.
          100035              0.              0.              0.              0.
          100040              0.              0.              0.              0.
          100045              0.              0.              0.              0.
          100050              0.              0.              0.              0.
          100527              0.              0.              0.              0.
          100531              0.              0.              0.              0.
          100535              0.              0.              0.              0.
          100540              0.              0.              0.              0.
          100545              0.              0.              0.              0.
          100550              0.              0.              0.              0.
          101027              0.              0.              0.              0.
          101031              0.              0.              0.              0.
          101035              0.              0.              0.              0.
          101040              0.              0.              0.              0.
          101045              0.              0.              0.              0.
          101050              0.              0.              0.              0.
          101527              0.              0.              0.              0.
          101531              0.              0.              0.              0.
          101535              0.              0.              0.              0.
